name, url, thumbnail 
Business Insider, http://www.businessinsider.com, http://i0.wp.com/edge.alluremedia.com.au/assets/technetwork/img/businessinsider/gravatar.jpg
Savannah Niles, savannah, http://viral.media.mit.edu/img/people/savannah.jpg
Business Week, http://www.businessweek.com, https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRmFuAUYRoh0gZPs3jrnOx-gO-4JIlJTRLLpuI8i4EIQ-RwymR-
USA Today, http://www.usatoday.com, http://uniq3d.files.wordpress.com/2012/09/usa-app-logo.png
Eric Dahlseng, dahlseng, http://pldb.media.mit.edu/face/dahlseng
CBS, http://www.cbsnews.com, http://www.threeifbyspace.net/wp-content/uploads/2013/05/cbs-logo.png
Fox Sports, http://www.foxsports.com, http://a1.phobos.apple.com/us/r1000/035/Purple/e9/ec/f4/mzi.dwnmuumh.png
Amir Lazarovich, amirl, http://viral.media.mit.edu/img/people/amir.jpg
Jon Ferguson, jonf, http://pldb.media.mit.edu/face/jonf
ESPN, http://espn.go.com, http://athletics.mtholyoke.edu/sports/news/2011-12/photos/martha_ackmann_photos/espnlogo.jpg
Reuters, http://www.reuters.com, http://www.gunnars.com/wp-content/uploads/2014/01/Reuters-logo.jpg
Huffington Post, http://www.huffingtonpost.com, http://malaikaforlife.org/wp-content/uploads/2013/08/huff-post.jpg
Andy Lippman, lip, http://viral.media.mit.edu/img/people/lip.jpeg
Miami Herald, http://www.miamiherald.com, http://www.nwdesigninc.com/images/thumb_miamiherald.jpg
Washington Post, http://www.washingtonpost.com, http://www.kurzweilai.net/images/The-Washington-Post-logo.jpg
New York Magazine, http://nymag.com, http://nymag.com/img/nymag-1500x1500.png
LA Times, http://www.latimes.com, http://www.becketfund.org/wp-content/uploads/2013/02/LA-Times-logo-square-e1360163706629.jpg
US Weekly, http://www.usmagazine.com, http://prw.memberclicks.net/assets/Press_Images/us%20weekly.png
Vivian Diep, vdiep, http://viral.media.mit.edu/img/people/vivian.jpg
Newsweek, http://www.newsweek.com, http://asklogo.com/images/N/newsweek%20logo.jpg
Bloomberg, http://www.bloomberg.com, http://redalertpolitics.com/files/2013/08/Bloomberg-News-logo.jpg
Telegraph, http://www.telegraph.co.uk, http://ny1.createit.netdna-cdn.com/wp-content/uploads/2014/01/telegraph-logo.jpg
Wikipedia, http://en.wikipedia.org, http://tctechcrunch2011.files.wordpress.com/2010/05/wikipedia1.png
Travis Rich, trich, http://viral.media.mit.edu/img/people/trich.jpeg
